,index,name,latitude,longitude,region
29,1612,TRECASALI,44.93,10.27,Emilia-Romagna
101,4809,PARMA RAILWAY STATION,44.81,10.33,Emilia-Romagna
121,5448,SASSO MARCONI,44.4,11.25,Emilia-Romagna
129,5828,CAMUGNANO,44.17,11.1,Emilia-Romagna
132,5981,RIOLO TERME,44.28,11.73,Emilia-Romagna
145,6393,FONTANELLATO,44.88,10.18,Emilia-Romagna
168,7566,MORFASSO,44.72,9.7,Emilia-Romagna
188,8933,SAN LAZZARO DI SAVENA,44.47,11.41,Emilia-Romagna
218,10286,MONTE CIMONE,44.19,10.7,Emilia-Romagna
8697,398595,CESATE,45.6,9.08,Lombardia
8702,398833,FALOPPIO,45.82,8.97,Lombardia
8708,399202,AIRUNO,45.75,9.42,Lombardia
8714,399443,GALLARATE,45.67,8.8,Lombardia
8717,399515,INTROZZO,46.08,9.33,Lombardia
8719,399702,PADERNO D'ADDA,45.68,9.45,Lombardia
8721,399779,VESTRENO,46.08,9.32,Lombardia
8
